"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"CC001",0.184012173376282,1.91340368821134e-06,0.492131296702722,23.3146381479953,1.40845986671449,5.82864835179506,5.8005,0.0111687452340652,""
"CC001",0.229746410843971,9.24366136818971e-05,0.324593457052378,24.0849150628759,2.13543177011142,7.10007864132477,7.0585,0.0126450687106342,""
"CC001",0.237353662358264,0.00013041914518149,0.311076987433574,24.1290862933175,2.22821747850428,7.32458319588846,7.29425,0.0124379200984061,""
"Sut001",0.341145581961863,0.000291905685619912,0.292199270847813,24.171100038037,2.37217286185823,10.5128754575377,10.474,0.011780781734622,""
"Sut001",0.321209568607023,0.000166027715146063,0.325681177919308,23.234923643836,2.12829978382012,10.1995562651012,10.1675,0.0108054599759997,""
"Sut001",0.345984346035759,0.000381617405048489,0.292347855156352,23.2894702043733,2.37096721708199,10.9666927534447,10.905,0.0113094615091118,""
"Kin002",0.364051672770516,0.000933221141113189,0.251967026564891,23.6691374265652,2.75094400251389,11.3992438749475,11.33625,0.00955773874308377,""
"Kin002",0.353534536126621,0.000962425157187949,0.249315790619205,23.6790222207905,2.78019767154914,11.066223708747,10.9845,0.00922626468656252,""
"Kin002",0.366613931710745,0.00168820198049187,0.223398644846567,24.0647377725763,3.10273672893588,11.3316963878833,11.215,0.0115550617528512,""
"CL001",0.49585982728179,0.024571353386509,0.104865499080173,28.1683598100016,6.60986870457761,13.3351822911493,13.22975,0.0210929188153861,""
"CL001",0.424707178477501,0.0194683505291277,0.136634671139157,22.217541634361,5.07299629574988,13.8079493615911,13.80825,0.0155049222708881,""
"CL001",0.441202174828631,0.0166843664276439,0.124724644386689,25.9490161976415,5.55741957788991,12.769879480829,12.7415,0.0150438937522854,""
"Gle001",0.362797154651604,0.00133486963920486,0.247217589515962,22.6574657548638,2.80379394490937,11.7252374832357,11.84475,0.0121342980094393,""
"Gle001",0.361741297487704,0.00113087044045527,0.26013683365659,22.1606856194234,2.66454838715758,11.8716365440287,12.01525,0.013237634686505,""
"Gle001",0.370027631624292,0.00212680533750078,0.227918739559572,22.6097792824621,3.04120311431774,11.9732300889291,12.0665,0.0110322489513842,""
"Kin003",0.568785348982307,0.00543311723815067,0.218938744040043,21.1995005282303,3.16594115673364,19.1961966561132,19.06125,0.0263341187650161,""
"Kin003",0.574258474178512,0.00386900224287919,0.236453779446141,21.117542582177,2.93142779186505,19.4359347907361,19.3,0.0271944914204035,""
"Kin003",0.572467604120984,0.00565746141490601,0.217527220414856,21.1791844497311,3.18648479596261,19.3311416669926,19.19725,0.0311481627508408,""
"But001",0.54062673362898,0.0397266463103286,0.125330520403926,20.2216067744583,5.53055375758445,18.5224035739414,18.5055,0.0176945359128085,""
"But001",0.508231312916904,0.0364667690549172,0.132945701107099,19.2565730445825,5.21376151908483,17.9091219221278,17.88125,0.0155001160728029,""
"But001",0.548492975263952,0.0272332871274532,0.129400714435549,22.8113759312622,5.35659469565898,17.499276992976,17.463,0.0148564017168121,""
"Gle002",0.337068852237147,0.00390955414620447,0.205478830608856,21.6333594885607,3.37332648091326,11.2260767184658,11.32175,0.0109884403704455,""
"Gle002",0.351052738405442,0.00254904044252987,0.22397951555193,21.9570608401585,3.09469006061511,11.5858405385746,11.69,0.0123366573476644,""
"Gle002",0.35610848471134,0.00312676704644773,0.215488071805603,21.9335420584023,3.21663827956682,11.7584425448776,11.8345,0.0106402693776158,""
"But002",0.560633178217561,0.0396678100712246,0.124969766391333,20.606132288342,5.54651897475271,19.0081738644497,19.05875,0.0238136370333891,""
"But002",0.529075080338408,0.0288895946845864,0.139032851506268,20.5095233628151,4.9854920837087,18.0604615573993,18.12625,0.0230266294570928,""
"But002",0.494516063020375,0.0165427840989792,0.152726901742333,22.0236565403833,4.53847470650169,16.2132185465066,16.282,0.0167234094024742,""
"Kin001",0.407096737404229,0.00157448396700278,0.224142899592975,24.7665582204181,3.09243425430225,12.2989006696393,12.5105,0.0138178400036575,""
"Kin001",0.401822770015912,0.00111871569385494,0.237663223598039,24.7452749366471,2.91651005177086,12.1495824427478,12.31625,0.0113932065342037,""
"Kin001",0.373980213908725,0.000754675440242509,0.254449044985963,24.3807179573321,2.72410997100887,11.4449059812548,11.59425,0.0101753658660598,""
