"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"Tul001",0.330290705446068,0.000126131273054138,0.316172000670203,24.8915884006879,2.19231044839724,9.94090352049641,9.9035,0.0116599818278377,""
"Tul001",0.283792651878479,0.000136111291518414,0.314349539541853,24.3106656405374,2.20502050542263,8.70619506749392,8.66875,0.0124858103861495,""
"Tul001",0.27777737641297,0.000131289406376425,0.313506304601554,24.4227892883206,2.21095132820659,8.49052175516176,8.45025,0.0126426092370917,""
"Teh001",0.294312112747566,9.52613344791678e-05,0.325714186976198,24.6702436721889,2.12808409420188,8.92322548354917,8.8765,0.0112242883539911,""
"Teh001",0.298200236219155,0.000142335067034807,0.310205799858085,24.6509225302095,2.23447524474736,9.04673973903473,8.9905,0.0107219017985036,""
"Teh001",0.333170222599884,4.39155162734716e-05,0.372139503446454,24.0071511123096,1.86260038007408,10.3224534464287,10.27625,0.0108298220023549,""
"Yub001",116.267264539094,8.95762703257374e-06,0.0794771992215183,206.082962600111,8.72133375797517,0.00880004805175735,0.01,0.00075772284815922,""
"Yub001",0.00166836110492072,2.93740249838278e-06,0.267639115701072,23.6897702433467,2.58985753537658,0.0522105349405464,0.05025,0.00204071758972049,""
"Yub001",34.1354816727495,0.000221563508495435,0.0623544840851019,191.568133962266,11.1162363177271,0.106026512022554,0.106,0.00454625479674348,""
"Tul002",0.593099841642233,0.00373788233433488,0.192428594615836,26.2981772882666,3.60210072699301,17.0099374956263,17.2705,0.0264570894740794,""
"Tul002",0.630298801393783,0.00674481574061339,0.170796489836294,26.5032447633737,4.05832216589648,17.9438023106889,18.28325,0.0314529190674337,""
"Tul002",0.570365580107246,0.00337099204709312,0.187258611837139,27.3693296745997,3.70155035199547,15.7530519029779,16.12325,0.0286826952627867,""
"Teh002",0.329643370139567,0.000478755417777514,0.272305862977145,23.9918572628171,2.54547284800152,10.2168340677733,10.3265,0.0132348050618865,""
"Teh002",0.323292597732922,0.000243407565770387,0.304463603454386,23.6180040464664,2.27661754211547,10.1416097818702,10.1825,0.0093587977026383,""
"Teh002",0.33574902569231,0.000329686640627049,0.286870280103803,24.1398103505044,2.41623907610483,10.356939098788,10.344,0.0105942060417865,""
"Yub002",0.313156972517383,0.000216629873026529,0.334689633473152,21.7382819248835,2.07101478873724,10.412373619134,10.3955,0.0105260123157713,""
"Yub002",0.39249760143891,0.000924992408640946,0.267541867679088,22.6063335909209,2.59079891522385,12.7073032663104,12.65275,0.0141406065135031,""
"Yub002",0.368101084301087,0.000431127826822881,0.319880284628672,21.0970686645263,2.16689559772205,12.4746987222707,12.475,0.0170889346776404,""
"Tul003",0.558115355956389,0.04221221457393,0.122255013669966,20.4753108946471,5.66968306454189,18.9707828161297,18.96775,0.0216708511887062,""
"Tul003",0.516016714204961,0.0355211601720103,0.126697255280772,20.5583727106908,5.47089342246499,17.5284076557101,17.52275,0.0207122580143844,""
"Tul003",0.493636103568516,0.0218499260313967,0.141315596429738,21.7409005844147,4.90495881609626,16.2864826663059,16.3175,0.0204924893133738,""
"Yol001",0.324264535997483,0.00295137514673756,0.210090993074222,22.3243507240984,3.29927128439565,10.5798128458097,10.65075,0.0130615596710072,""
"Yol001",0.287115475710629,0.00222058661066745,0.22593725031848,21.4853854121205,3.06787472885895,9.61048201795943,9.66525,0.010837320312293,""
"Yol001",0.313855159982915,0.00200339674942991,0.22233191999921,22.703369999298,3.11762332895073,10.1253622821475,10.107,0.0103590457146926,""
"Tul004",0.537049149005822,0.0287663492901516,0.143020752654128,20.0798251664107,4.84647974295175,18.5671544310878,18.652,0.0261152150222879,""
"Tul004",0.503176816847371,0.0205871306255182,0.154569796723301,20.4082601834368,4.48436366776599,17.2802313748592,17.38125,0.0252438546747539,""
"Tul004",0.498240580003894,0.011065583020882,0.181109635830527,20.8977491188758,3.82722419699721,16.9300770154301,17.0635,0.0207669145015198,""
"Yol002",0.322618795347674,0.00201215005347287,0.233304549553151,21.7355861625316,2.97099727325306,10.7204378887456,10.802,0.0131105564429943,""
"Yol002",0.327338449158841,0.00124889172485191,0.256407157391115,21.7034328464169,2.70330667682042,10.8913440356096,10.92275,0.0101638719588061,""
"Yol002",0.320717520456503,0.000987253019230775,0.267474282508062,21.6107006343908,2.59145355605936,10.7017884098563,10.6915,0.00960966139904432,""
